unix,Low,High,Open,Close,Volume,Date,vol_fiat
1615075200,3.5579,3.7803,3.66,3.7075,64641.4,2021-03-07,239657.9905
1614988800,3.2649,3.816,3.3501,3.66,181713.2,2021-03-06,665070.312
1614902400,3.1204,3.3803,3.3198,3.3418,71400.4,2021-03-05,238605.85671999998
1614816000,3.2597,3.57,3.4715,3.3239,126490.7,2021-03-04,420442.43773
1614729600,3.3106,3.5805,3.3446,3.4683,112443.6,2021-03-03,389988.13788000005
1614643200,3.2,3.5356,3.3129,3.3381,198875.7,2021-03-02,663866.9741700001
1614556800,3.0147,3.3643,3.0717,3.313,198302.2,2021-03-01,656975.1886000001
1614470400,2.847,3.2736,3.2036,3.0782,159845.0,2021-02-28,492034.87899999996
1614384000,3.1748,3.3808,3.2276,3.1985,89292.6,2021-02-27,285602.38110000006
1614297600,2.9654,3.36,3.2503,3.2244,260623.9,2021-02-26,840355.70316
1614211200,3.2282,3.59,3.3546,3.243,255342.9,2021-02-25,828077.0247
1614124800,3.139,3.6465,3.2981,3.3567,615002.4,2021-02-24,2064378.55608
1614038400,2.6626,3.9789,3.9789,3.2965,1126524.3,2021-02-23,3713587.35495
1613952000,3.2631,4.5073,4.5073,3.9792,491090.1,2021-02-22,1954145.7259199999
1613865600,4.3787,4.6708,4.4491,4.5423,141630.5,2021-02-21,643328.22015
1613779200,4.298,4.9499,4.7112,4.4696,405462.6,2021-02-20,1812255.6369599998
1613692800,4.4671,4.8161,4.7355,4.7032,162108.4,2021-02-19,762428.22688
1613606400,4.5302,4.8,4.6369,4.7094,114835.9,2021-02-18,540808.1874599999
1613520000,4.1169,4.6481,4.4801,4.625,279125.1,2021-02-17,1290953.5875
1613433600,4.2485,4.7114,4.4591,4.4777,341549.8,2021-02-16,1529357.5394599999
1613347200,3.915,5.0296,4.8608,4.4558,479515.3,2021-02-15,2136624.27374
1613260800,4.7225,5.6773,5.6083,4.8474,570527.1,2021-02-14,2765573.06454
1613174400,4.4891,5.7988,4.5236,5.5966,1287939.2,2021-02-13,7208080.5267199995
1613088000,4.1109,4.5955,4.3252,4.4738,455416.2,2021-02-12,2037440.99556
1613001600,3.8851,4.4826,4.0399,4.3196,674660.9,2021-02-11,2914265.2236400004
1612915200,3.5587,4.305,3.7412,4.0336,1088658.0,2021-02-10,4391210.908799999
1612828800,3.3899,3.8079,3.546,3.7249,569176.1,2021-02-09,2120124.05489
1612742400,3.29,3.61,3.3788,3.5465,475868.8,2021-02-08,1687668.6992
1612656000,3.1221,3.6651,3.579,3.3604,470628.1,2021-02-07,1581498.6672399999
1612569600,3.4,3.9257,3.7666,3.5883,730536.8,2021-02-06,2621385.19944
1612483200,3.2299,4.0091,3.2981,3.7673,1492724.1,2021-02-05,5623539.50193
1612396800,3.0469,3.4372,3.4156,3.274,965439.6,2021-02-04,3160849.2504
1612310400,2.8398,3.5672,2.9143,3.3932,1447280.8,2021-02-03,4910913.2105600005
1612224000,2.7936,3.0449,3.0405,2.9036,1104790.3,2021-02-02,3207869.11508
1612137600,2.48,3.2,2.5747,3.0516,1028080.5,2021-02-01,3137290.4538000003
1612051200,2.5041,2.7541,2.5402,2.5752,517222.6,2021-01-31,1331951.63952
1611964800,2.4416,2.6287,2.57,2.5476,238992.8,2021-01-30,608858.05728
1611878400,2.4038,2.79,2.4078,2.5663,601353.2,2021-01-29,1543252.71716
1611792000,2.25,2.4719,2.275,2.4078,353853.8,2021-01-28,852009.17964
1611705600,2.2511,2.5074,2.5074,2.2915,540739.3,2021-01-27,1239104.1059500002
1611619200,2.3809,2.6812,2.58,2.5074,374653.7,2021-01-26,939406.68738
1611532800,2.5607,2.7945,2.6376,2.5852,416907.8,2021-01-25,1077790.0445599998
1611446400,2.5289,2.828,2.6507,2.6292,253104.7,2021-01-24,665462.8772400001
1611360000,2.4248,2.75,2.4426,2.6534,714193.7,2021-01-23,1895041.5635799998
1611273600,2.1565,2.5651,2.325,2.4481,327315.9,2021-01-22,801302.0547900001
1611187200,2.3276,2.8195,2.8195,2.335,681052.2,2021-01-21,1590256.8869999999
1611100800,2.5612,2.9466,2.8318,2.807,545573.2,2021-01-20,1531423.9723999999
1611014400,2.8075,3.1826,3.0995,2.8207,559850.0,2021-01-19,1579168.895
1610928000,2.6583,3.2755,2.77,3.1071,704939.3,2021-01-18,2190316.89903
1610841600,2.4689,2.7899,2.5985,2.738,610342.1,2021-01-17,1671116.6698
1610755200,2.5504,2.8472,2.6586,2.608,641372.6,2021-01-16,1672699.7408
1610668800,2.3457,2.8492,2.3667,2.6588,798692.3,2021-01-15,2123563.08724
1610582400,2.27,2.4826,2.3847,2.363,462152.7,2021-01-14,1092066.8301000001
1610496000,2.1097,2.4177,2.1664,2.3847,228885.2,2021-01-13,545822.53644
1610409600,2.1078,2.4188,2.302,2.1781,346633.2,2021-01-12,755001.7729200001
1610323200,1.8006,2.7046,2.7046,2.2966,716201.8,2021-01-11,1644829.0538800003
1610236800,2.375,3.05,2.7712,2.712,761776.8,2021-01-10,2065938.6816000002
1610150400,2.4499,2.8267,2.5166,2.7552,455547.4,2021-01-09,1255124.19648
1610064000,2.295,2.6498,2.6018,2.5166,732962.1,2021-01-08,1844572.42086
1609977600,2.5002,2.8999,2.7325,2.6018,697122.9,2021-01-07,1813774.36122
1609891200,2.4643,2.9,2.5843,2.7325,755345.7,2021-01-06,2063982.1252499998
1609804800,2.31,2.7645,2.4409,2.5845,1185536.4,2021-01-05,3064018.8257999993
1609718400,1.98,2.5763,2.2424,2.4367,1465405.9,2021-01-04,3570754.5565299997
1609632000,1.8259,2.2387,1.8787,2.2371,1307416.7,2021-01-03,2924821.89957
1609545600,1.7811,1.9982,1.8529,1.8683,419617.1,2021-01-02,783970.62793
1609459200,1.7859,2.0299,1.7984,1.8549,190675.9,2021-01-01,353684.72690999997
1609372800,1.7304,1.8829,1.8049,1.8041,84907.6,2020-12-31,153181.80116
1609286400,1.7941,1.9113,1.9068,1.8044,101203.3,2020-12-30,182611.23452
1609200000,1.7965,2.0237,1.9788,1.8968,369033.2,2020-12-29,699982.17376
1609113600,1.9151,2.0773,1.9484,1.9793,269873.1,2020-12-28,534159.8268299999
1609027200,1.78,2.1,1.8738,1.9476,301297.2,2020-12-27,586806.42672
1608940800,1.8435,1.954,1.9118,1.8738,249853.0,2020-12-26,468174.5514
1608854400,1.8752,2.0435,1.9255,1.9151,161454.4,2020-12-25,309201.32143999997
1608768000,1.6742,1.9259,1.734,1.9259,426154.2,2020-12-24,820730.37378
1608681600,1.49,2.2544,2.2492,1.7326,462518.3,2020-12-23,801359.20658
1608595200,2.1,2.3131,2.2064,2.2463,213574.6,2020-12-22,479752.62398000003
1608508800,2.2033,2.4597,2.3604,2.2064,258655.6,2020-12-21,570697.71584
1608422400,2.3372,2.4657,2.4161,2.3606,123712.6,2020-12-20,292035.96356
1608336000,2.4025,2.5181,2.4039,2.4161,130903.4,2020-12-19,316275.70474
