"Date","Open","Low","High","Close"
11-12-2019,"1.1033 ","1.1003 ","1.1038 ","1.1011 "
11-11-2019,"1.1021 ","1.1017 ","1.1043 ","1.1033 "
11-08-2019,"1.1050 ","1.1017 ","1.1054 ","1.1022 "
11-07-2019,"1.1068 ","1.1037 ","1.1090 ","1.1046 "
11-06-2019,"1.1075 ","1.1065 ","1.1092 ","1.1069 "
11-05-2019,"1.1128 ","1.1064 ","1.1139 ","1.1071 "
11-04-2019,"1.1170 ","1.1125 ","1.1175 ","1.1128 "
11-01-2019,"1.1152 ","1.1131 ","1.1172 ","1.1164 "
10-31-2019,"1.1151 ","1.1133 ","1.1174 ","1.1152 "
10-30-2019,"1.1112 ","1.1082 ","1.1151 ","1.1150 "
10-29-2019,"1.1100 ","1.1074 ","1.1116 ","1.1112 "
10-28-2019,"1.1080 ","1.1077 ","1.1106 ","1.1100 "
10-25-2019,"1.1104 ","1.1074 ","1.1123 ","1.1078 "
10-24-2019,"1.1131 ","1.1093 ","1.1162 ","1.1104 "
